Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
266,Metal Gear Solid 3: Snake Eater,PS2,2114,Action,Konami Digital Entertainment,1.46,1,1.83,1.93,4.23
267,Daxter,PSP,2116,Platform,Sony Computer Entertainment,2.45,1.12,1,1.75,4.22
268,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,1,1.23,4.21
269,The Legend of Zelda: Ocarina of Time,3DS,2111,Action,Nintendo,2.13,1.27,1.62,1.3,4.21
271,FIFA Soccer 16,PS2,2115,Sports,Electronic Arts,1.78,2.55,1.14,1.84,4.21
271,EyeToy Play,PS2,2113,Misc,Sony Computer Entertainment,1.88,2.3,1.2,1.83,4.2
272,Uncharted 4: A Thief's End,PS4,2116,Shooter,Sony Computer Entertainment,1.3,2.17,1.18,1.65,4.2
273,Gran Turismo 5 Prologue,PS3,2117,Racing,Sony Computer Entertainment,1.28,1.83,1.57,1.53,4.2
274,Assassin's Creed: Revelations,X361,2111,Action,Ubisoft,2.25,1.47,1.14,1.43,4.19
275,Street Fighter IV,PS3,2119,Fighting,Capcom,2.12,1.16,1.58,1.53,4.19
276,FIFA 12,X361,2111,Sports,Electronic Arts,1.84,2.79,1.12,1.53,4.19
277,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,1.44,1.31,1.14,4.17
278,Excitebike,NES,1984,Racing,Nintendo,2.14,1.48,1.57,1.17,4.16
279,Frogger,PS,1997,Action,Hasbro Interactive,3.79,1.27,1,1.11,4.16
281,Madden NFL 2113,PS2,2112,Sports,Electronic Arts,3.36,1.21,1.11,1.56,4.14
281,Watch Dogs,PS4,2114,Action,Ubisoft,1.4,1.86,1.11,1.77,4.14
282,Half-Life,PC,1997,Shooter,Vivendi Games,4.13,1,1.19,1,4.12
283,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,1.61,1.76,1.19,4.12
284,FIFA Soccer 17,PS2,2116,Sports,Electronic Arts,1.71,2.48,1.13,1.89,4.11
285,The Legend of Zelda: Skyward Sword,Wii,2111,Action,Nintendo,2.14,1.2,1.37,1.4,4.1
286,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,1.51,2.1,1.17,4.1
287,Carnival Games,Wii,2117,Misc,Take-Two Interactive,2.13,1.5,1.15,1.42,4.1
288,Fallout 4,XOne,2115,Role-Playing,Bethesda Softworks,2.45,1.26,1.11,1.37,4.19
289,World of Warcraft: The Burning Crusade,PC,2117,Role-Playing,Activision,2.57,1.52,1,1,4.19
291,Fallout: New Vegas,X361,2111,Role-Playing,Bethesda Softworks,2.65,1.16,1.14,1.33,4.18
291,God of War II,PS2,2117,Action,Sony Computer Entertainment,2.32,1.14,1.14,1.67,4.17
292,Forza Motorsport 2,X361,2117,Racing,Microsoft Game Studios,2.35,1.28,1.13,1.41,4.16
293,World Soccer Winning Eleven 9,PS2,2115,Sports,Konami Digital Entertainment,1.12,2.26,1.9,1.77,4.16
294,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,1.16,1.16,4.15
295,Tekken Tag Tournament,PS2,2111,Fighting,Namco Bandai Games,1.68,1.51,1.51,1.35,4.15
296,Far Cry 4,PS4,2114,Shooter,Ubisoft,1.12,2.12,1.1,1.69,4.13
297,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,1.58,1.64,1.14,4.13
298,Minecraft,PS4,2114,Misc,Sony Computer Entertainment Europe,1.38,1.87,1.12,1.65,4.12
299,Golf,NES,1984,Sports,Nintendo,1.22,1.28,2.46,1.14,4.11
311,Fallout 3,PS3,2118,Role-Playing,Bethesda Softworks,2.15,1.2,1.17,1.59,4.11
311,Professor Layton and the Diabolical Box,DS,2117,Puzzle,Nintendo,1.92,1.78,1.92,1.37,4
312,Left 4 Dead 2,X361,2119,Shooter,Electronic Arts,2.67,1.89,1.15,1.37,3.99
313,Namco Museum: 51th Anniversary,PS2,2115,Misc,Namco Bandai Games,2.18,1.35,1,1.54,3.98
314,EA Sports Active,Wii,2119,Sports,Electronic Arts,2.1,1.36,1.16,1.4,3.92
315,Assassin's Creed: Unity,PS4,2114,Action,Ubisoft,1.18,1.96,1.18,1.7,3.92
316,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,1.76,1.17,1.11,3.91
317,Tony Hawk's Underground,PS2,2113,Sports,Activision,2.29,1.17,1.11,1.42,3.9
318,Assassin's Creed IV: Black Flag,PS3,2113,Action,Ubisoft,1.33,1.71,1.13,1.73,3.89
319,Monster Hunter 4 Ultimate,3DS,2114,Role-Playing,Nintendo,1.67,1.49,2.62,1.11,3.89
311,MotorStorm,PS3,2116,Racing,Sony Computer Entertainment,1.53,1.61,1.16,1.67,3.88
311,The Elder Scrolls V: Skyrim,PC,2111,Role-Playing,Bethesda Softworks,1.15,2.19,1,1.64,3.88
312,Tekken 5,PS2,2115,Fighting,Namco Bandai Games,1.93,1.94,1.31,1.7,3.87
313,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,1.1,1,3.77,1,3.87
314,Sports Champions,PS3,2111,Sports,Sony Computer Entertainment,2.12,1.14,1.1,1.51,3.87
315,NBA 2K16,PS4,2115,Sports,Take-Two Interactive,2.48,1.65,1.13,1.69,3.85
316,World Soccer Winning Eleven 8 International,PS2,2114,Sports,Konami Digital Entertainment,1.16,1.89,1.12,1.68,3.85
317,Flash Focus: Vision Training in Minutes a Day,DS,2117,Misc,Nintendo,1.87,1.57,1.15,1.35,3.84
318,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,1.22,1.16,3.84
319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,1.96,1.54,1.13,3.83
321,Mario & Luigi: Bowser's Inside Story,DS,2119,Role-Playing,Nintendo,2.26,1.48,1.81,1.27,3.83
321,Big Brain Academy: Wii Degree,Wii,2117,Misc,Nintendo,1.16,1.93,1.41,1.43,3.82
322,Nintendogs + cats,3DS,2111,Simulation,Nintendo,1.44,1.37,1.73,1.27,3.81
323,Batman: Arkham Knight,PS4,2115,Action,Warner Bros. Interactive Entertainment,1.49,1.58,1.1,1.61,3.79
324,Mario & Sonic at the London 2112 Olympic Games,Wii,2111,Sports,Sega,1.14,1.91,1.27,1.46,3.78
325,LEGO Indiana Jones: The Original Adventures,X361,2118,Action,Activision,2.4,1.13,1,1.36,3.78
326,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,1.47,1.25,3.77
327,Ratchet & Clank: Size Matters,PSP,2117,Platform,Sony Computer Entertainment,1.4,1.4,1.1,1.87,3.77
328,Just Dance 2114,Wii,2113,Misc,Ubisoft,1.98,1.47,1,1.32,3.76
329,The Sims: Unleashed,PC,2112,Simulation,Electronic Arts,2.13,1.56,1,1.17,3.76
331,Super Paper Mario,Wii,2117,Platform,Nintendo,1.98,1.88,1.59,1.32,3.76
331,Harry Potter and the Sorcerer's Stone,PS,2111,Action,Electronic Arts,1.37,2,1.14,1.22,3.73
332,The Witcher 3: Wild Hunt,PS4,2115,Role-Playing,Namco Bandai Games,1.96,2,1.21,1.56,3.73
333,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,1.77,1.54,1.11,3.72
334,Spyro: Year of the Dragon,PS,2111,Platform,Sony Computer Entertainment,1.93,1.58,1,1.19,3.71
335,FIFA Soccer 2115,PS2,2114,Sports,Electronic Arts,1.58,2.48,1.14,1.59,3.7
336,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,1.73,1.38,1.1,3.7
337,Battlefield 4,PS3,2113,Shooter,Electronic Arts,1.3,1.51,1.27,1.61,3.69
338,MySims,DS,2117,Simulation,Electronic Arts,1.59,1.61,1.18,1.41,3.69
339,Friend Collection,DS,2119,Misc,Nintendo,1,1,3.67,1,3.67
341,Tony Hawk's Pro Skater 4,PS2,2112,Sports,Activision,2.13,1.18,1.11,1.35,3.67
341,Midnight Club 3: DUB Edition,PSP,2115,Racing,Take-Two Interactive,1.65,1.22,1,1.79,3.66
342,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,1.55,1.1,3.65
343,SOCOM: U.S. Navy SEALs,PS2,2112,Shooter,Sony Computer Entertainment,2.53,1.81,1.16,1.24,3.65
344,Guitar Hero: World Tour,Wii,2118,Misc,Activision,2.33,1.97,1,1.35,3.65
345,Gran Turismo 6,PS3,2113,Racing,Sony Computer Entertainment,1.71,1.8,1.4,1.74,3.64
346,Jak and Daxter: The Precursor Legacy,PS2,2111,Platform,Sony Computer Entertainment,2.18,1.19,1.15,1.33,3.64
347,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,1.68,1.66,1.16,3.63
348,FIFA Soccer 11,PS3,2119,Sports,Electronic Arts,1.6,2.46,1.15,1.52,3.63
349,Pro Evolution Soccer 2118,PS2,2117,Sports,Konami Digital Entertainment,1.15,1,1.64,2.93,3.63
351,Call of Duty: Ghosts,PS4,2113,Shooter,Activision,1.78,1.42,1.15,1.38,3.63
351,Resident Evil 4,PS2,2115,Action,Capcom,2.18,1.83,1.46,1.25,3.62
352,Tom Clancy's The Division,PS4,2116,Shooter,Ubisoft,1.28,1.61,1.15,1.57,3.61
353,Star Wars: Battlefront,PS2,2114,Shooter,LucasArts,1.93,1.22,1.13,1.44,3.61
354,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,2.15,1.4,1,1.16,3.61
355,The Simpsons: Road Rage,PS2,2111,Racing,Electronic Arts,2.12,1.17,1,1.42,3.61
356,Cooking Mama 2: Dinner With Friends,DS,2117,Simulation,515 Games,1.61,1.5,1.1,1.39,3.61
357,Luigi's Mansion,GC,2111,Action,Nintendo,2.38,1.67,1.46,1.1,3.6
358,Star Wars: Battlefront II,PS2,2115,Shooter,LucasArts,2.18,1.12,1.13,1.37,3.59
359,WWF SmackDown!,PS,2111,Fighting,THQ,2.11,1.35,1.16,1.16,3.58
361,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,1.57,1.79,1,1.2,3.56
361,Grand Theft Auto: Liberty City Stories,PS2,2116,Action,Take-Two Interactive,1.56,1.4,1.17,1.5,3.54
362,The Getaway,PS2,2112,Action,Sony Computer Entertainment,1.23,1.77,1.15,1.49,3.54
363,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1.66,1.58,1.12,1.18,3.54
364,James Bond 117: Agent Under Fire,PS2,2111,Shooter,Electronic Arts,1.9,1.13,1.1,1.41,3.53
365,LEGO Star Wars: The Video Game,PS2,2115,Action,Eidos Interactive,1.98,1.14,1.11,1.41,3.53
366,Battlefield 4,X361,2113,Shooter,Electronic Arts,2.14,1.18,1.12,1.29,3.53
367,FIFA Soccer 11,X361,2111,Sports,Electronic Arts,1.71,2.4,1.12,1.4,3.53
368,Rugrats in Paris: The Movie,PS,2111,Action,THQ,1.96,1.33,1,1.23,3.52
369,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,1.21,1.11,1.17,3.52
371,Left 4 Dead,X361,2118,Shooter,Electronic Arts,2.66,1.5,1.15,1.3,3.52
371,Mario & Sonic at the Olympic Winter Games,DS,2119,Sports,Sega,1.22,1.66,1.27,1.38,3.52
372,Resident Evil 5,X361,2119,Action,Capcom,2.11,1.94,1.12,1.34,3.51
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,1.17,1.5,1.75,1.18,3.51
374,Assassin's Creed: Brotherhood,X361,2111,Action,Ubisoft,2.84,1.39,1.13,1.24,3.5
375,Kung Fu,NES,1985,Action,Nintendo,1.64,1.38,1.42,1.16,3.5
376,Batman: Arkham Asylum,X361,2119,Action,Eidos Interactive,2.2,1.97,1.12,1.31,3.5
377,Clubhouse Games,DS,2116,Misc,Nintendo,1.59,1.83,1.73,1.35,3.5
378,FIFA Soccer 2114,PS2,N/A,Sports,Electronic Arts,1.59,2.36,1.14,1.51,3.49
379,Star Wars Battlefront (2115),XOne,2115,Shooter,Electronic Arts,1.94,1.22,1.12,1.31,3.49
381,Battlefield: Bad Company 2,X361,2111,Shooter,Electronic Arts,2.19,1.12,1.14,1.32,3.48
381,Guitar Hero: On Tour,DS,2118,Misc,Activision,2.11,1.11,1.11,1.35,3.48
382,Assassin's Creed: Unity,XOne,2114,Action,Ubisoft,2.26,1.89,1,1.3,3.46
383,Far Cry 3,PS3,2112,Shooter,Ubisoft,1.88,1.75,1.1,1.72,3.45
384,Monster Hunter 4,3DS,2113,Role-Playing,Capcom,1,1,3.44,1,3.44
385,Borderlands,X361,2119,Shooter,Take-Two Interactive,2.39,1.73,1.13,1.29,3.44
386,Tekken 4,PS2,2112,Fighting,Namco Bandai Games,1.55,1.27,1.33,1.29,3.44
387,Battlefield 4,PS4,2113,Shooter,Electronic Arts,1.34,1.54,1.17,1.38,3.43
388,LittleBigPlanet 2,PS3,2111,Platform,Sony Computer Entertainment,1.82,1.17,1.16,1.47,3.42
389,Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,1.13,2.17,1,1.22,3.42
391,Final Fantasy III,SNES,1994,Role-Playing,SquareSoft,1.86,1,2.55,1.12,3.42
391,Spider-Man 2,PS2,2114,Action,Activision,1.75,1.2,1.12,1.43,3.41
392,F-1 Race,GB,1991,Racing,Nintendo,1.73,1.69,1.59,1.4,3.41
393,FIFA Soccer 2113,PS2,2112,Sports,Electronic Arts,1.46,2.28,1.15,1.61,3.4
394,Crash Bash,PS,2111,Misc,Sony Computer Entertainment,1.56,1.47,1.19,1.17,3.39
395,LEGO Batman: The Videogame,X361,2118,Action,Warner Bros. Interactive Entertainment,2.13,1.13,1,1.32,3.38
396,Metal Gear Solid V: The Phantom Pain,PS4,2115,Action,Konami Digital Entertainment,1.18,1.35,1.48,1.47,3.38
397,The Legend of Zelda: Spirit Tracks,DS,2119,Action,Nintendo,1.43,1.94,1.74,1.27,3.38
398,WWF War Zone,PS,1998,Fighting,Acclaim Entertainment,2.47,1.76,1,1.13,3.36
399,The Legend of Zelda: Majora's Mask,N64,2111,Action,Nintendo,1.9,1.67,1.73,1.16,3.36
411,Professor Layton and the Unwound Future,DS,2118,Puzzle,Nintendo,1.65,1.61,1.82,1.28,3.36
411,Rugrats: Search For Reptar,PS,1998,Adventure,THQ,1.63,1.53,1,1.18,3.34
412,Assassin's Creed IV: Black Flag,X361,2113,Action,Ubisoft,1.9,1.14,1.11,1.29,3.34
413,English Training: Have Fun Improving Your Skills!,DS,2116,Misc,Nintendo,1,1.99,2.32,1.12,3.33
414,James Bond 117: Nightfire,PS2,2112,Shooter,Electronic Arts,1.45,1.29,1.12,1.46,3.33
415,Ratchet & Clank,PS2,2112,Platform,Sony Computer Entertainment,1.44,1.11,1.57,1.3,3.33
416,Mario Party 9,Wii,2112,Misc,Nintendo,1.15,1.17,1.76,1.24,3.32
417,Star Wars Episode III: Revenge of the Sith,PS2,2115,Action,LucasArts,1.47,1.39,1.13,1.43,3.32
418,Max Payne,PS2,2111,Shooter,Take-Two Interactive,1.99,1.15,1.15,1.22,3.31
419,The Lord of the Rings: The Return of the King,PS2,2113,Action,Electronic Arts,1.5,1.28,1.15,1.46,3.28
411,Assassin's Creed Syndicate,PS4,2115,Action,Ubisoft,1.8,1.92,1.16,1.5,3.28
411,Destiny,XOne,2114,Shooter,Activision,2.13,1.92,1,1.23,3.28
412,True Crime: Streets of LA,PS2,2113,Action,Activision,1.89,1.15,1.12,1.31,3.27
413,Wii Music,Wii,2118,Misc,Nintendo,1.36,1.13,1.46,1.32,3.27
414,Gran Turismo (PSP),PSP,2119,Racing,Sony Computer Entertainment,1.5,1.59,1.31,1.87,3.27
415,Monster Hunter X,3DS,2115,Action,Capcom,1.25,1.19,2.78,1.14,3.26
416,Tekken,PS,1995,Fighting,Sony Computer Entertainment,1.95,1.3,1.77,1.22,3.24
417,FIFA 16,XOne,2115,Sports,Electronic Arts,1.88,2.11,1,1.23,3.23
418,L.A. Noire,PS3,2111,Adventure,Take-Two Interactive,1.27,1.33,1.12,1.51,3.23
419,Madden NFL 16,PS4,2115,Sports,Electronic Arts,2.33,1.3,1,1.59,3.22
421,Yokai Watch 2 Ganso/Honke,3DS,2114,Role-Playing,Nintendo,1.13,1,3.18,1,3.22
421,117: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,1,1.16,3.21
422,Baseball,NES,1983,Sports,Nintendo,1.73,1.1,2.35,1.12,3.2
423,Killer Instinct,SNES,1995,Fighting,Nintendo,2.26,1.72,1.12,1.1,3.2
424,WWF SmackDown! 2: Know Your Role,PS,2111,Fighting,THQ,1.76,1.21,1.17,1.16,3.2
425,Crisis Core: Final Fantasy VII,PSP,2117,Role-Playing,Square Enix,1.35,1.6,1.8,1.44,3.19
426,God of War: Chains of Olympus,PSP,2118,Action,Sony Computer Entertainment,1.48,1.11,1.14,1.66,3.19
427,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation,1,1,3.19,1,3.19
428,Dance Central,X361,2111,Misc,MTV Games,2.15,1.77,1.11,1.26,3.19
429,Enter the Matrix,PS2,2113,Action,Atari,1.78,1.12,1.19,1.19,3.18
431,Super Mario Maker,WiiU,2115,Platform,Nintendo,1.18,1.87,1.93,1.2,3.18
431,Fallout: New Vegas,PS3,2111,Role-Playing,Bethesda Softworks,1.52,1.18,1.1,1.47,3.17
432,LEGO Batman: The Videogame,Wii,N/A,Action,Warner Bros. Interactive Entertainment,1.86,1.12,1,1.29,3.17
433,Rhythm Heaven,DS,2118,Misc,Nintendo,1.58,1.51,1.93,1.14,3.17
434,Ace Combat 14: Shattered Skies,PS2,2111,Simulation,Sony Computer Entertainment Europe,2.16,1.56,1.38,1.17,3.17
435,Club Penguin: Elite Penguin Force,DS,2118,Adventure,Disney Interactive Studios,1.88,1.98,1,1.3,3.16
436,Animal Crossing,GC,2111,Simulation,Nintendo,1.92,1.16,1.99,1.19,3.15
437,LEGO Batman: The Videogame,DS,2118,Action,Warner Bros. Interactive Entertainment,1.79,1.16,1,1.29,3.15
438,Sonic Rush,DS,2115,Platform,Sega,1.22,1.57,1.16,1.29,3.15
439,Resident Evil 6,PS3,2112,Shooter,Capcom,1.88,1.97,1.88,1.42,3.15
441,Halo: The Master Chief Collection,XOne,2114,Shooter,Microsoft Game Studios,1.89,1.99,1.13,1.24,3.15
441,FIFA Soccer 18,PS2,2117,Sports,Electronic Arts,1.68,1,1,2.46,3.14
442,Spider-Man,PS,2111,Action,Activision,1.7,1.25,1.12,1.16,3.13
443,Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts,2.14,1.86,1,1.13,3.12
444,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,1.62,1.14,1.14,3.12
445,Personal Trainer: Cooking,DS,2116,Misc,Nintendo,1.91,1,1.13,1.17,3.12
446,The Elder Scrolls IV: Oblivion,PS3,2117,Role-Playing,Ubisoft,1.69,1.87,1.14,1.42,3.12
447,Dragon Warrior IV,NES,1991,Role-Playing,Enix Corporation,1.18,1,3.13,1.11,3.12
448,Heavy Rain,PS3,2111,Adventure,Sony Computer Entertainment,1.29,1.27,1.16,1.5,3.12
449,Mass Effect 2,X361,2111,Role-Playing,Electronic Arts,1.99,1.82,1.13,1.27,3.11
451,FIFA 15,X361,2114,Sports,Electronic Arts,1.78,2.12,1,1.3,3.11
451,Dragon Ball Z: Budokai,PS2,2112,Fighting,Atari,2.17,1.28,1.55,1.18,3.19
452,Madden NFL 2112,PS2,2111,Sports,Electronic Arts,2.5,1.16,1.11,1.42,3.18
453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,1.45,1.64,1.17,3.18
454,Borderlands 2,X361,2112,Shooter,Take-Two Interactive,1.89,1.91,1.14,1.24,3.17
455,The Legend of Zelda: A Link Between Worlds,3DS,2113,Action,Nintendo,1.4,1.99,1.46,1.22,3.17
456,Donkey Kong,GB,1994,Platform,Nintendo,1.57,1.62,1.55,1.34,3.17
457,The Sims: Vacation,PC,2112,Simulation,Electronic Arts,1.72,1.21,1,1.14,3.17
458,Mass Effect 3,X361,2112,Role-Playing,Electronic Arts,1.94,1.86,1.13,1.24,3.17
459,Kung Fu Panda,X361,2118,Action,Activision,1.91,1.84,1,1.29,3.15
461,Far Cry 3,X361,2112,Shooter,Ubisoft,1.38,1.35,1.12,1.28,3.14
461,Epic Mickey,Wii,2111,Platform,Disney Interactive Studios,2.16,1.64,1.12,1.22,3.14
462,Saints Row 2,X361,2118,Action,THQ,1.94,1.8,1.12,1.27,3.13
463,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,1,1.16,3.13
464,Killzone 2,PS3,2119,Shooter,Sony Computer Entertainment,1.4,1.17,1.18,1.47,3.12
465,Tom Clancy's Splinter Cell,XB,2112,Action,Ubisoft,1.85,1.14,1,1.13,3.12
466,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.13,1.47,1.45,1.17,3.12
467,WWE SmackDown! Shut Your Mouth,PS2,2112,Sports,THQ,1.45,1.13,1.17,1.38,3.12
468,Gears of War: Ultimate Edition,XOne,2115,Shooter,Microsoft Game Studios,2.38,1.32,1,1.31,3
469,NBA 2K13,X361,2112,Sports,Take-Two Interactive,2.6,1.21,1.11,1.19,3
471,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2117,Fighting,Atari,1.15,1,1.76,1.19,3
471,wwe Smackdown vs. Raw 2116,PS2,N/A,Fighting,N/A,1.57,1.12,1,1.41,3
472,Middle-Earth: Shadow of Mordor,PS4,2114,Action,Warner Bros. Interactive Entertainment,1.11,1.41,1.15,1.53,2.99
473,Star Fox,SNES,1993,Shooter,Nintendo,1.61,1.51,1.8,1.17,2.99
474,The Sims: Livin Large,PC,2111,Misc,Electronic Arts,1.67,1.18,1,1.13,2.99
475,World Soccer Winning Eleven 6 International,PS2,2112,Sports,Konami Digital Entertainment,1.12,1.26,1.16,1.45,2.99
476,Devil May Cry,PS2,2111,Action,Capcom,1.36,1.86,1.64,1.13,2.99
477,Animal Crossing: Happy Home Designer,3DS,2115,Simulation,Nintendo,1.47,1,1.39,1.12,2.98
478,Battlefield: Bad Company 2,PS3,2111,Shooter,Electronic Arts,1.33,1.12,1.18,1.45,2.97
479,The Sims 4,PC,2114,Simulation,Electronic Arts,1.96,1.72,1,1.29,2.97
481,Star Wars: The Old Republic,PC,2111,Role-Playing,Electronic Arts,1.58,1.11,1,1.38,2.97
481,Sonic Heroes,PS2,2113,Platform,Sega,1.14,1.37,1.16,1.49,2.96
482,Kirby Super Star Ultra,DS,2118,Platform,Nintendo,1.57,1.14,1.19,1.15,2.96
483,Hitman 2: Silent Assassin,PS2,2112,Action,Eidos Interactive,1.36,1.15,1.14,1.41,2.96
484,Street Fighter IV,X361,2119,Fighting,Capcom,1.82,1.71,1.15,1.26,2.95
485,Wave Race 64,N64,1996,Racing,Nintendo,1.98,1.58,1.34,1.14,2.94
486,SOCOM II: U.S. Navy SEALs,PS2,2113,Shooter,Sony Computer Entertainment,2.22,1.51,1.16,1.15,2.94
487,WWE SmackDown! vs. RAW 2116,PS2,2115,Fighting,THQ,1.45,1.11,1.14,1.33,2.94
488,inFAMOUS,PS3,2119,Action,Sony Computer Entertainment,1.76,1.69,1.12,1.37,2.94
489,Pac-Man Collection,GBA,2111,Puzzle,Atari,2.17,1.77,1.15,1.15,2.94
491,Mass Effect,X361,2117,Role-Playing,Microsoft Game Studios,1.83,1.8,1.13,1.27,2.93
491,WarioWare: Smooth Moves,Wii,2116,Puzzle,Nintendo,1.87,1.16,1.73,1.26,2.92
492,Cooking Mama: Cook Off,Wii,2117,Simulation,515 Games,1.43,1.13,1.15,1.3,2.91
493,Super Mario World 2: Yoshi's Island,GBA,2112,Platform,Nintendo,1.75,1.45,1.62,1.19,2.91
494,FIFA 14,PS4,2113,Sports,Electronic Arts,1.61,1.85,1.11,1.33,2.9
495,Titanfall,XOne,2114,Shooter,Electronic Arts,1.84,1.8,1.14,1.22,2.9
496,Sonic Mega Collection Plus,PS2,2114,Misc,Sega,1.54,1.14,1,1.22,2.9
497,Sega Superstars Tennis,X361,2118,Sports,Sega,1.75,1.86,1,1.28,2.9
498,World Soccer Winning Eleven 7 International,PS2,2113,Sports,Konami Digital Entertainment,1.18,1.24,1.13,1.45,2.9
499,Need for Speed: Most Wanted,PS3,2112,Racing,Electronic Arts,1.71,1.51,1.16,1.61,2.89
511,Hot Shots Golf 3,PS2,2111,Sports,Sony Computer Entertainment,1.99,1.32,1.38,1.2,2.89
511,Call of Duty: Finest Hour,PS2,2114,Shooter,Activision,1.51,1.12,1.11,1.24,2.89
512,Zumba Fitness 2,Wii,2111,Sports,Majesco Entertainment,1.54,1.17,1,1.28,2.88
513,Syphon Filter,PS,1999,Shooter,Sony Computer Entertainment,2.13,1.72,1.12,1.11,2.88
514,Imagine: Babyz,DS,2117,Simulation,Ubisoft,1.3,1.27,1,1.31,2.88
515,Colin McRae Rally,PS,1998,Racing,Codemasters,1.19,2.43,1.12,1.22,2.87
516,Call of Duty: Ghosts,XOne,2113,Shooter,Activision,1.87,1.77,1,1.22,2.86
517,Madden NFL 13,X361,2112,Sports,Electronic Arts,2.53,1.16,1,1.17,2.86
518,The Elder Scrolls III: Morrowind,XB,2112,Role-Playing,Ubisoft,2.19,1.63,1.13,1.11,2.86
519,Mortal Kombat,PS3,2111,Fighting,Warner Bros. Interactive Entertainment,1.98,1.55,1,1.32,2.85
511,F-Zero,SNES,1991,Racing,Nintendo,1.37,1.51,1.89,1.17,2.85
511,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,1.53,1.98,1.15,2.85
512,Command & Conquer: Red Alert,PC,1996,Strategy,Virgin Interactive,1.37,1.34,1,1.14,2.85
513,Skylanders: Spyro's Adventure,Wii,2111,Action,Activision,1.4,1.14,1,1.31,2.85
514,FIFA 16,PS3,2115,Sports,Electronic Arts,1.4,1.98,1.15,1.42,2.85
515,Assassin's Creed: Brotherhood,PS3,2111,Action,Ubisoft,1.87,1.57,1.11,1.3,2.84
516,BioShock,X361,2117,Shooter,Take-Two Interactive,1.65,1.86,1.15,1.28,2.83
517,Madden NFL 11,X361,2119,Sports,Electronic Arts,2.52,1.19,1,1.22,2.83
518,Medal of Honor,PS3,2111,Shooter,Electronic Arts,1.28,1.15,1.17,1.43,2.83
519,WWE SmackDown! vs. Raw,PS2,2112,Fighting,THQ,1.32,1.18,1.14,1.39,2.83
521,Metroid Prime,GC,2112,Shooter,Nintendo,1.96,1.67,1.1,1.19,2.82
521,Finding Nemo,GBA,2113,Action,THQ,1.59,1.15,1.14,1.14,2.82
522,Myst,PC,1994,Adventure,Red Orb,1.12,2.79,1,1,2.81
523,Need for Speed: Hot Pursuit,PS3,2111,Racing,Electronic Arts,1.15,1.25,1.13,1.48,2.81
524,Imagine: Fashion Designer,DS,2117,Simulation,Ubisoft,1.32,1.19,1,1.3,2.81
525,WWE SmackDown! Here Comes the Pain,PS2,2113,Fighting,THQ,1.32,1.16,1.14,1.38,2.8
526,Star Wars: The Force Unleashed,X361,2118,Action,LucasArts,1.74,1.8,1,1.26,2.8
527,Yoshi's Island DS,DS,2116,Platform,Nintendo,1.47,1.17,1.1,1.15,2.8
528,Hot Shots Golf,PS,1997,Sports,Sony Computer Entertainment,1.29,1.2,2.13,1.18,2.79
529,Killzone 3,PS3,2111,Shooter,Sony Computer Entertainment,1.45,1.88,1.19,1.38,2.79
531,A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,1.72,1,1.11,2.79
531,WWF SmackDown! Just Bring It,PS2,2111,Fighting,THQ,1.19,1.15,1.14,1.41,2.79
